epoch,round,memory_len,round_time,idle_time,loss_actor,loss_critic,loss_critic1,loss_critic2,q1_mean,q2_mean,target_q_mean,critic_grad_norm,actor_grad_norm,bc_reg_term,policy_updated,critic_warmup,total_updates,return_test,return_train,episode_length_test,episode_length_train,sampling_duration,training_step_duration,wall_time
5,0,10452.0,9.487306,0.0,-2.483005,0.042772,0.021857,0.020914,1.550142,1.550181,1.488506,1.007096,0.074165,0.015379,0.5,0.0,10100.5,0.0,61.630001,81.0,622.0,0.024652,0.022737,1789805524.3889081
5,1,10452.0,9.217006,0.0,-2.482739,0.04125,0.021174,0.020076,1.579844,1.579859,1.5182,1.013991,0.088,0.01564,0.5,0.0,10300.5,0.0,61.630001,81.0,622.0,0.023499,0.022548,1789805533.3972824
5,2,10680.0,10.014055,0.0,-2.482758,0.051319,0.026129,0.02519,1.613076,1.612949,1.552032,1.377069,0.074978,0.015788,0.5,0.0,10500.5,0.0,16.640011,81.0,227.0,0.026829,0.023201,1789805543.4138172
5,3,11102.0,10.127611,0.0,-2.482889,0.044554,0.02253,0.022023,1.629937,1.630067,1.569138,1.038769,0.076331,0.015674,0.5,0.0,10700.5,0.0,10.155798,81.0,113.18,0.023427,0.022152,1789805553.9229586
5,4,11102.0,9.273304,0.0,-2.481638,0.055492,0.028972,0.02652,1.658115,1.658139,1.597882,1.203067,0.078922,0.016642,0.5,0.0,10900.5,0.0,23.599987,81.0,313.0,0.023943,0.022384,1789805562.9306638
5,5,11292.0,9.371519,0.0,-2.482774,0.050272,0.02567,0.024603,1.67841,1.678449,1.618379,1.231541,0.078836,0.015546,0.5,0.0,11100.5,0.0,20.812397,81.0,255.96,0.024874,0.021943,1789805572.4381843
5,6,11612.0,9.790801,0.0,-2.482034,0.050379,0.025956,0.024422,1.712104,1.712067,1.651879,1.171136,0.07863,0.01608,0.5,0.0,11300.5,0.0,9.798151,81.0,99.99,0.022274,0.021619,1789805582.4470015
5,7,11612.0,9.087502,0.0,-2.480913,0.048717,0.025237,0.02348,1.728508,1.728837,1.668363,1.216429,0.084387,0.016942,0.5,0.0,11500.5,0.0,9.43,81.0,98.0,0.023101,0.022286,1789805591.470751
5,8,11818.0,10.110297,0.0,-2.480525,0.047307,0.024597,0.02271,1.753521,1.753344,1.693481,1.116124,0.080196,0.017577,0.5,0.0,11700.5,0.0,9.594549,81.0,101.64,0.022808,0.022678,1789805601.479949
5,9,12026.0,18.945537,0.0,-2.479955,0.053489,0.027796,0.025693,1.793437,1.793338,1.732881,1.185982,0.083874,0.017947,0.5,0.0,11900.5,0.0,9.391749,81.0,103.05,0.022923,0.021714,1789805620.9961581
6,0,12392.0,23.986889,0.0,-2.478855,0.055183,0.028407,0.026776,1.799185,1.799274,1.74003,1.219863,0.090644,0.018661,0.5,0.0,12100.5,0.0,21.990402,81.0,322.92,0.02285,0.02202,1789805645.014956
6,1,12492.0,9.337179,0.0,-2.477642,0.054572,0.028436,0.026136,1.8219,1.821967,1.763093,1.367857,0.08793,0.019982,0.5,0.0,12300.5,0.0,24.245205,81.0,362.34,0.024403,0.022245,1789805654.0220895
6,2,12598.0,10.043634,0.0,-2.477286,0.052964,0.027151,0.025814,1.855777,1.855492,1.796314,1.274475,0.090188,0.020627,0.5,0.0,12500.5,0.0,9.980002,81.0,105.0,0.026637,0.023543,1789805664.0309875
6,3,13153.0,26.856671,0.0,-2.476513,0.068648,0.035742,0.032906,1.881697,1.881511,1.822277,1.381969,0.09495,0.021064,0.5,0.0,12700.5,0.0,50.9342,81.0,545.02,0.022399,0.021799,1789805691.0508273
6,4,13153.0,9.263019,0.0,-2.475834,0.057153,0.03014,0.027013,1.905647,1.906043,1.846621,1.318159,0.092177,0.021972,0.5,0.0,12900.5,0.0,51.77,81.0,554.0,0.023748,0.022517,1789805700.558366
6,5,13263.0,9.377357,0.0,-2.473958,0.057513,0.029339,0.028173,1.922867,1.922647,1.864502,1.26104,0.097378,0.023464,0.5,0.0,13100.5,0.0,9.690001,81.0,109.0,0.024366,0.022498,1789805709.5662036
6,6,13460.0,9.013458,0.0,-2.473493,0.061755,0.032311,0.029443,1.96066,1.960636,1.902108,1.392421,0.096329,0.024501,0.5,0.0,13300.5,0.0,9.757749,81.0,97.165,0.023208,0.021834,1789805718.5729284
6,7,13664.0,9.938702,0.0,-2.472691,0.061882,0.032408,0.029475,1.980129,1.980059,1.922381,1.40905,0.09495,0.024956,0.5,0.0,13500.5,1.37315,9.618752,83.32,103.13,0.023127,0.021501,1789805728.581959
6,8,13867.0,13.219259,0.0,-2.472724,0.063437,0.032937,0.0305,2.012309,2.012153,1.954089,1.461183,0.102654,0.025202,0.5,0.0,13700.5,9.47,9.916251,97.0,97.675,0.023663,0.022362,1789805742.1198146
6,9,14086.0,18.290416,0.0,-2.471932,0.062544,0.031706,0.030838,2.04131,2.041304,1.983334,1.442423,0.093037,0.025748,0.5,0.0,13900.5,9.47,13.921806,97.0,177.485,0.024203,0.022181,1789805760.6379514
7,0,14285.0,10.289427,0.0,-2.471207,0.062079,0.031724,0.030354,2.06962,2.070078,2.012476,1.415664,0.102137,0.026569,0.5,0.0,14100.5,9.47,12.926805,97.0,153.7,0.024126,0.022269,1789805770.645571
7,1,14672.0,22.21262,0.0,-2.470176,0.062776,0.03181,0.030966,2.090217,2.089849,2.032568,1.383538,0.11664,0.027544,0.5,0.0,14300.5,9.47,10.267651,97.0,107.96,0.023841,0.022141,1789805793.174012
7,2,14672.0,9.104349,0.0,-2.469488,0.066997,0.034745,0.032251,2.117188,2.116988,2.060463,1.351357,0.095481,0.02838,0.5,0.0,14500.5,9.47,23.04999,97.0,288.0,0.023291,0.022168,1789805802.181607
7,3,14869.0,9.353798,0.0,-2.470083,0.066336,0.034427,0.03191,2.133793,2.134123,2.078412,1.590148,0.089803,0.027825,0.5,0.0,14700.5,9.47,14.924796,97.0,172.38,0.024235,0.022486,1789805811.6893578
